antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'noCDAccount'}),frozenset({'noPersonalLoan'}),0.9396,0.904,0.8716,0.9276287782034909,1.0261380289861624,0.022201600000000044,1.326494117647059
frozenset({'noPersonalLoan'}),frozenset({'noCDAccount'}),0.904,0.9396,0.8716,0.9641592920353983,1.0261380289861626,0.022201600000000044,1.685234567901238
frozenset({'noCDAccount'}),frozenset({'noCreditCard'}),0.9396,0.706,0.6936,0.7381864623243933,1.0455898899778944,0.030242400000000003,1.1229365853658537
frozenset({'noCreditCard'}),frozenset({'noCDAccount'}),0.706,0.9396,0.6936,0.9824362606232295,1.0455898899778944,0.030242400000000003,3.4389032258064653
frozenset({'noCreditCard'}),frozenset({'noPersonalLoan'}),0.706,0.904,0.6386,0.9045325779036827,1.0005891348492064,0.00037599999999993194,1.0055786350148361
frozenset({'noPersonalLoan'}),frozenset({'noCreditCard'}),0.904,0.706,0.6386,0.7064159292035398,1.0005891348492066,0.00037599999999993194,1.0014167294649585
frozenset({'noSecuritiesAccount'}),frozenset({'noCreditCard'}),0.8956,0.706,0.6302,0.7036623492630639,0.9966888799760113,-0.0020935999999999177,0.9921115297663907
frozenset({'noCreditCard'}),frozenset({'noSecuritiesAccount'}),0.706,0.8956,0.6302,0.8926345609065156,0.9966888799760112,-0.0020935999999999177,0.9723799472295521
"frozenset({'noCDAccount', 'noCreditCard'})",frozenset({'noPersonalLoan'}),0.6936,0.904,0.6356,0.9163783160322954,1.0136928274693533,0.008585600000000082,1.1480275862068974
"frozenset({'noCDAccount', 'noPersonalLoan'})",frozenset({'noCreditCard'}),0.8716,0.706,0.6356,0.729233593391464,1.032908772509156,0.020250400000000113,1.0858067796610171
"frozenset({'noCreditCard', 'noPersonalLoan'})",frozenset({'noCDAccount'}),0.6386,0.9396,0.6356,0.9953022236141561,1.0592829114667477,0.03557144000000012,12.857146666667036
frozenset({'noCreditCard'}),"frozenset({'noCDAccount', 'noPersonalLoan'})",0.706,0.8716,0.6356,0.9002832861189803,1.032908772509156,0.020250400000000113,1.2876477272727291
frozenset({'noPersonalLoan'}),"frozenset({'noCDAccount', 'noCreditCard'})",0.904,0.6936,0.6356,0.7030973451327434,1.013692827469353,0.008585600000000082,1.0319880774962742
"frozenset({'noCDAccount', 'noSecuritiesAccount'})",frozenset({'noCreditCard'}),0.8646,0.706,0.6276,0.7258848022206801,1.0281654422389237,0.017192400000000108,1.0725417721518988
"frozenset({'noCDAccount', 'noCreditCard'})",frozenset({'noSecuritiesAccount'}),0.6936,0.8956,0.6276,0.9048442906574395,1.010321896669763,0.0064118400000000575,1.0971490909090926
"frozenset({'noCreditCard', 'noSecuritiesAccount'})",frozenset({'noCDAccount'}),0.6302,0.9396,0.6276,0.9958743256109173,1.0598917897093627,0.03546408000000012,14.640030769231116
frozenset({'noSecuritiesAccount'}),"frozenset({'noCDAccount', 'noCreditCard'})",0.8956,0.6936,0.6276,0.7007592675301475,1.010321896669763,0.0064118400000000575,1.0239247761194035
