antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'LowIncome'}),frozenset({'noPersonalLoan'}),0.2476,0.904,0.2472,0.9983844911147012,1.1044076229144923,0.023369600000000018,59.42400000000172
frozenset({'VeryLowIncome'}),frozenset({'noPersonalLoan'}),0.2624,0.904,0.2624,1.0,1.1061946902654867,0.0251904,inf
frozenset({'noOnline'}),frozenset({'noCDAccount'}),0.4032,0.9396,0.3994,0.9905753968253967,1.054252231614939,0.02055327999999995,6.40875789473679
"frozenset({'noCreditCard', 'HighCCAvg'})",frozenset({'noCDAccount'}),0.1848,0.9396,0.1836,0.9935064935064937,1.0573717470269197,0.009961920000000013,9.301600000000237
"frozenset({'NoMortgage', 'LowIncome'})",frozenset({'noPersonalLoan'}),0.1706,0.904,0.1706,1.0,1.1061946902654867,0.016377599999999992,inf
"frozenset({'noCreditCard', 'LowIncome'})",frozenset({'noCDAccount'}),0.1778,0.9396,0.177,0.9955005624296962,1.059494000031605,0.009939119999999968,13.423899999999742
"frozenset({'noCDAccount', 'LowIncome'})",frozenset({'noPersonalLoan'}),0.2384,0.904,0.238,0.9983221476510067,1.1043386589059807,0.02248639999999999,57.21599999999912
"frozenset({'noCreditCard', 'LowIncome'})",frozenset({'noPersonalLoan'}),0.1778,0.904,0.1774,0.9977502812148481,1.1037060632907612,0.016668799999999984,42.67199999999916
"frozenset({'noSecuritiesAccount', 'LowIncome'})",frozenset({'noPersonalLoan'}),0.221,0.904,0.2206,0.9981900452488687,1.1041925279301645,0.020815999999999973,53.03999999999692
"frozenset({'NoMortgage', 'VeryLowIncome'})",frozenset({'noPersonalLoan'}),0.1778,0.904,0.1778,1.0,1.1061946902654867,0.017068799999999995,inf
"frozenset({'NoMortgage', 'noOnline'})",frozenset({'noCDAccount'}),0.2782,0.9396,0.276,0.9920920201294033,1.0558663475195864,0.014603279999999996,7.637854545454579
"frozenset({'noOnline', 'Undergraduate'})",frozenset({'noCDAccount'}),0.1682,0.9396,0.1668,0.9916765755053508,1.0554241970044176,0.008759280000000008,7.256628571428615
"frozenset({'hasOnline', 'VeryLowIncome'})",frozenset({'noPersonalLoan'}),0.1544,0.904,0.1544,1.0,1.1061946902654867,0.014822399999999986,inf
"frozenset({'noCreditCard', 'VeryLowIncome'})",frozenset({'noCDAccount'}),0.1828,0.9396,0.1816,0.9934354485776806,1.0572961351401453,0.009841120000000009,9.200933333333474
"frozenset({'noCDAccount', 'VeryLowIncome'})",frozenset({'noPersonalLoan'}),0.253,0.904,0.253,1.0,1.1061946902654867,0.024288000000000004,inf
"frozenset({'noCreditCard', 'VeryLowIncome'})",frozenset({'noPersonalLoan'}),0.1828,0.904,0.1828,1.0,1.1061946902654867,0.017548800000000003,inf
"frozenset({'noSecuritiesAccount', 'VeryLowIncome'})",frozenset({'noPersonalLoan'}),0.237,0.904,0.237,1.0,1.1061946902654867,0.022751999999999994,inf
"frozenset({'noOnline', 'noCreditCard'})",frozenset({'noCDAccount'}),0.2856,0.9396,0.285,0.9978991596638654,1.062046785508584,0.016650239999999983,28.75039999999859
"frozenset({'noPersonalLoan', 'noCreditCard'})",frozenset({'noCDAccount'}),0.6386,0.9396,0.6356,0.9953022236141561,1.0592829114667477,0.03557144000000012,12.857146666667036
"frozenset({'noSecuritiesAccount', 'noCreditCard'})",frozenset({'noCDAccount'}),0.6302,0.9396,0.6276,0.9958743256109173,1.0598917897093627,0.03546408000000012,14.640030769231116
"frozenset({'noPersonalLoan', 'noOnline'})",frozenset({'noCDAccount'}),0.3654,0.9396,0.3644,0.9972632731253421,1.0613700224833356,0.021070160000000004,22.070160000000328
"frozenset({'noOnline', 'noSecuritiesAccount'})",frozenset({'noCDAccount'}),0.363,0.9396,0.3622,0.9977961432506888,1.061937146924956,0.02112520000000001,27.406500000000833
"frozenset({'noCreditCard', 'LowIncome'})","frozenset({'noPersonalLoan', 'noCDAccount'})",0.1778,0.8716,0.1766,0.9932508436445444,1.1395718720107209,0.021629519999999985,19.02459999999994
"frozenset({'noCreditCard', 'VeryLowIncome'})","frozenset({'noPersonalLoan', 'noCDAccount'})",0.1828,0.8716,0.1816,0.9934354485776806,1.139783672071685,0.022271520000000017,19.559600000000287
