antecedents,consequents,antecedent support,confidence
{'1Component'},{'NoMortgage'},"0,294","0,706"
{'3Component'},{'NoMortgage'},"0,202","0,701"
{'Forties'},{'NoMortgage'},"0,251","0,703"
{'HighCCAvg'},{'NoMortgage'},"0,262","0,707"
{'HighIncome'},{'NoMortgage'},"0,246","0,706"
{'Sixties'},{'NoMortgage'},"0,135","0,700"
{'VeryHighCCAvg'},{'NoMortgage'},"0,271","0,703"
{'hasPersonalLoan'},{'VeryHighCCAvg'},"0,960","0,758"
{'hasPersonalLoan'},{'VeryHighIncome'},"0,960","0,915"
"{'1Component', 'Undergraduate'}",{'NoMortgage'},"0,136","0,721"
"{'hasOnline', '1Component'}",{'NoMortgage'},"0,177","0,710"
"{'hasOnline', 'Forties'}",{'NoMortgage'},"0,146","0,717"
"{'hasOnline', 'HighCCAvg'}",{'NoMortgage'},"0,151","0,705"
"{'HighIncome', 'hasOnline'}",{'NoMortgage'},"0,148","0,718"
"{'VeryHighCCAvg', 'Undergraduate'}",{'NoMortgage'},"0,154","0,711"
"{'VeryHighIncome', 'Undergraduate'}",{'NoMortgage'},"0,151","0,706"
"{'Undergraduate', 'hasCreditCard'}",{'NoMortgage'},"0,127","0,709"
"{'VeryHighCCAvg', 'hasOnline'}",{'NoMortgage'},"0,162","0,704"
